Nr,Failure,Refutation
10,2145.7233719236974,1997.3959709632259
11,1574.0138174046958,1860.140871262231
12,1808.4612523575247,2245.658233461056
13,1822.7227573703603,2199.8169933298227
14,2357.5241383063476,1690.0658458432752
15,2195.4994313539332,2284.9818977901364
16,2016.540551008252,2398.198312480343
17,1942.290064462236,2015.860438136712
18,2269.349973304999,2457.195157461574
19,1589.3199108828317,2206.711936209469
1,2269.0228979462854,2262.263738725418
20,2220.1815557026143,2217.49200395816
21,2058.381190431596,1803.0554699679162
22,1888.7736430636874,2003.457775575236
23,1970.241110712334,1945.859502279432
24,1895.8401073832724,2405.524975720249
25,1572.0281580929914,2338.035957911877
26,2409.342129121394,1782.5686027540862
27,1821.2081523765219,2014.8763450742274
28,2231.7498057803014,2247.8676048121915
29,1761.0461661361626,2288.1907722553537
2,1383.3632721785625,2055.4387466000717
30,1789.3692337288003,1697.264151715417
31,2168.5358229837207,2027.8455161733732
32,1772.8421723963431,1821.5072746183841
33,2337.1820738125034,2186.193631693995
34,2555.0723191892316,2299.8008723698085
35,2398.8860706487994,2354.950301316266
36,1555.6784193681528,2335.509744750505
37,1308.6187481385657,2216.9750305734287
38,1957.0653573194209,2340.2528551021646
39,2058.1149588941776,2438.999908269615
3,2112.7792698597236,2168.476253378579
40,1887.7597651986316,2173.006410355707
41,2055.2431146013673,2291.063731487298
42,1769.1741421043268,2072.7477386385262
43,1723.0661926046173,2438.431528226971
44,1928.4690002264554,2058.0264008715603
45,1898.3274569519851,2001.1390207312365
46,2449.3878758165456,2254.5724505695466
47,1742.4776213855112,2274.5914614494095
48,2010.704959582613,2260.9809614328738
49,1744.9124194927356,2403.781927661772
4,1839.4376859468414,2412.5305364896576
50,2001.6996758384544,2203.524205768537
51,1306.3813838513245,2330.860846755641
52,1965.8545021486661,2394.9183208260993
53,1267.089555016436,2271.3969219159108
54,2242.0248857399483,2357.7855118946845
55,935.0240273849162,1672.8660531336318
56,2038.2503272650733,2102.213668617246
57,1649.5929828891967,2537.862915106967
58,1868.0493137240126,2302.5365348112914
59,1897.73988402854,2153.9376859910253
5,1832.1048507224455,2252.433479660852
60,2108.143512218935,2184.079508000279
61,2256.0697740068135,2090.812062120788
62,2020.8419861859581,2202.7239980245986
63,1646.3500928255887,2054.2335372158273
64,2058.0610436232137,2551.2528562713096
65,2331.8670793237798,2202.2925165798674
66,2313.8910749486063,2508.5422457696627
67,1719.858094614868,2128.7711205887636
68,1225.3422320166542,2517.0688224329283
69,1962.0582538562776,2531.5717914067136
6,1772.6625875573125,2234.577251604039
70,1316.6151712437704,2378.768268197842
71,1874.4742898491886,2471.1584958946623
72,2206.364393753802,1970.31672747715
73,2081.7031686757077,2218.0426246131747
74,2117.8799969385086,2196.500407780442
75,2406.9748744250796,1906.2702037017543
76,1584.6061187018513,2372.9673991623663
77,2104.596452822922,2293.4422948519677
78,1560.9497420892033,1997.8167410284227
79,1377.985681821334,1967.4833884037062
7,2498.120272579155,1280.6837888673965
80,1772.009870333057,2086.3726134060353
8,2511.21029511654,2209.886167923033
9,2325.494485428259,2543.013456073474